x1,x2,y1,y2
-5.628,549.045,-0.446,1.79
-7.378,549.391,-0.346,1.75
-9.089,549.638,-0.246,1.71
-10.717,549.98,-0.342,1.629
-12.265,550.417,-0.438,1.547
-13.73,550.951,-0.533,1.466
-15.114,551.58,-0.629,1.384
-16.417,552.304,-0.725,1.302
-17.638,553.124,-0.82,1.221
-18.77,554.039,-0.914,1.132
-19.808,555.045,-1.006,1.037
-20.743,556.142,-1.097,0.936
-21.57,557.326,-1.185,0.827
-22.282,558.596,-1.27,0.712
-22.873,559.949,-1.353,0.591
-23.337,561.382,-1.433,0.463
-23.666,562.891,-1.509,0.329
-23.855,564.473,-1.582,0.189
-23.899,566.125,-1.652,0.043
-23.79,567.843,-1.718,-0.109
-23.604,569.622,-1.78,-0.186
-23.335,571.46,-1.837,-0.269
-22.977,573.35,-1.89,-0.358
-22.531,575.294,-1.944,-0.446
-21.996,577.29,-1.997,-0.535
-21.372,579.34,-2.05,-0.623
-20.66,581.443,-2.103,-0.712
-19.86,583.6,-2.156,-0.801
-18.971,585.809,-2.21,-0.889
-18.122,587.919,-2.11,-0.849
-17.313,589.929,-2.01,-0.809
-16.543,591.838,-1.91,-0.769
-15.814,593.648,-1.81,-0.729
-15.125,595.358,-1.71,-0.689
-14.476,596.967,-1.61,-0.649
-13.867,598.477,-1.51,-0.609
-13.298,599.886,-1.41,-0.569
-12.769,601.196,-1.31,-0.529
-12.28,602.406,-1.21,-0.489
-11.831,603.515,-1.11,-0.449
-11.422,604.525,-1.01,-0.409
-11.053,605.434,-0.91,-0.369
-10.723,606.244,-0.81,-0.329
-10.434,606.954,-0.71,-0.289
-10.185,607.563,-0.61,-0.249
-9.976,608.073,-0.51,-0.209
-9.807,608.483,-0.41,-0.169
-9.678,608.792,-0.31,-0.129
-9.589,609.002,-0.21,-0.089
-9.54,609.111,-0.11,-0.049
-9.531,609.121,-0.01,-0.009
-9.562,609.031,0.09,0.031
-9.424,608.993,0.037,-0.138
-9.198,609.009,-0.016,-0.226
-8.888,609.083,-0.074,-0.309
-8.501,609.219,-0.135,-0.387
-8.043,609.42,-0.201,-0.459
-7.624,609.521,-0.101,-0.419
-7.245,609.522,-0.001,-0.379
-6.906,609.424,0.099,-0.339
-6.608,609.225,0.199,-0.299
-6.349,608.926,0.299,-0.259
-6.13,608.527,0.399,-0.219
-5.951,608.028,0.499,-0.179
-5.813,607.43,0.599,-0.139
-5.714,606.731,0.699,-0.099
-5.655,605.932,0.799,-0.059
-5.637,605.033,0.899,-0.019
-5.658,604.035,0.999,0.021
-5.639,602.936,1.099,-0.019
-5.66,601.737,1.199,0.021
-5.642,600.438,1.299,-0.019
-5.663,599.04,1.399,0.021
-5.644,597.541,1.499,-0.019
-5.665,595.942,1.599,0.021
-5.647,594.243,1.699,-0.019
-5.668,592.445,1.799,0.021
-5.649,590.546,1.899,-0.019
-5.67,588.547,1.999,0.021
-5.652,586.448,2.099,-0.019
-5.673,584.25,2.199,0.021
-5.654,581.951,2.299,-0.019
-5.675,579.552,2.399,0.021
-5.657,577.053,2.499,-0.019
-5.678,574.455,2.599,0.021
-5.659,571.756,2.699,-0.019
-5.68,568.957,2.799,0.021
-5.662,566.058,2.899,-0.019
-5.683,563.06,2.999,0.021
-5.664,559.961,3.099,-0.019
-5.685,556.762,3.199,0.021
-5.667,553.463,3.299,-0.019
-5.688,550.065,3.399,0.021
-5.669,546.566,3.499,-0.019
-5.691,542.967,3.599,0.021
-5.672,539.268,3.699,-0.019
-5.693,535.47,3.799,0.021
-5.674,531.571,3.899,-0.019
-5.696,527.572,3.999,0.021
-5.677,523.473,4.099,-0.019
-5.698,519.275,4.199,0.021
-5.679,514.976,4.299,-0.019
-5.701,510.577,4.399,0.021
-5.682,506.078,4.499,-0.019
-5.703,501.48,4.599,0.021
-5.684,496.781,4.699,-0.019
-5.706,491.982,4.799,0.021
-5.687,487.083,4.899,-0.019
-5.708,482.084,4.999,0.021
-5.689,476.986,5.099,-0.019
-5.711,471.787,5.199,0.021
-5.692,466.488,5.299,-0.019
-5.713,461.089,5.399,0.021
-5.694,455.591,5.499,-0.019
-5.716,449.992,5.599,0.021
-5.697,444.293,5.699,-0.019
-5.718,438.494,5.799,0.021
-5.699,432.596,5.899,-0.019
-5.721,426.597,5.999,0.021
-5.702,420.498,6.099,-0.019
-5.723,414.299,6.199,0.021
-5.705,408.001,6.299,-0.019
-5.726,401.602,6.399,0.021
-5.707,395.103,6.499,-0.019
-5.728,388.504,6.599,0.021
-5.71,381.806,6.699,-0.019
-5.731,375.007,6.799,0.021
-5.712,368.108,6.899,-0.019
-5.733,361.109,6.999,0.021
-5.715,354.011,7.099,-0.019
-5.736,346.812,7.199,0.021
-5.717,339.513,7.299,-0.019
-5.738,332.114,7.399,0.021
-5.72,324.616,7.499,-0.019
