x1,x2,y1,y2
-451.9277289,431.9,0,0
-451.9277289,431.9,-0.1,0.04
-451.9677289,432,-0.2,0
-451.9677289,432.2,-0.299878165,0.033020101
-452.000749,432.4998782,-0.399390975,-0.020931194
-451.9798178,432.8992691,-0.498295355,-0.001836887
-451.977981,433.3975645,-0.596348968,0.010328493
-451.9883095,433.9939135,-0.693310519,-0.064401142
-451.9239083,434.687224,-0.788940039,-0.065983481
-451.8579248,435.476164,-0.882999184,-0.07436786
-451.783557,436.3591632,-0.975251523,-0.089495331
-451.6940616,437.3344147,-1.065462827,-0.11129873
-451.5827629,438.3998776,-1.153401351,-0.139702758
-451.4430601,439.5532789,-1.238838122,-0.174624077
-451.2684361,440.792117,-1.321547213,-0.215971406
-451.0524647,442.1136642,-1.401306023,-0.263645635
-450.788819,443.5149703,-1.477895541,-0.317539948
-450.4712791,444.9928658,-1.551100622,-0.377539948
-450.0937391,446.5439664,-1.620710241,-0.443523801
-449.6502153,448.1646767,-1.686517756,-0.515362381
-449.134853,449.8511944,-1.748321155,-0.592919432
-448.5419335,451.5995156,-1.805923305,-0.676051727
-447.8658818,453.4054389,-1.859132194,-0.764609249
-447.1012725,455.2645711,-1.907761159,-0.85843537
-446.2428372,457.1723322,-1.951629119,-0.957367044
-445.2854701,459.1239614,-1.990560793,-1.061235004
-444.2242351,461.1145221,-2.024386914,-1.169863969
-443.0543712,463.1389091,-2.052944436,-1.283072858
-441.7712983,465.1918535,-2.076076731,-1.400675009
-440.3706233,467.2679302,-2.093633782,-1.522478407
-438.8481449,469.361564,-2.105472363,-1.648285922
-437.199859,471.4670364,-2.111456215,-1.777895541
-435.4219634,473.5784926,-2.111456215,-1.911100622
-433.5108628,475.6899488,-2.105350528,-2.04769014
-431.4631727,477.7952993,-2.093024757,-2.18744895
-429.2757237,479.8883241,-2.074372086,-2.330158041
-426.9455657,481.9626962,-2.055719415,-2.472867133
-424.4726985,484.0184156,-2.037066743,-2.615576224
-421.8571223,486.0554823,-2.018414072,-2.758285316
-419.098837,488.0738964,-1.9997614,-2.900994407
-416.1978426,490.0736578,-1.981108729,-3.043703499
-413.1541391,492.0547665,-1.962456058,-3.18641259
-409.9677265,494.0172226,-1.943803386,-3.329121682
-406.6386048,495.961026,-1.925150715,-3.471830774
-403.166774,497.8861767,-1.906498043,-3.614539865
-399.5522342,499.7926747,-1.887845372,-3.757248957
-395.7949852,501.6805201,-1.875519601,-3.897007766
-391.8979775,503.5560397,-1.869413914,-4.033597284
-387.8643802,505.4254536,-1.869413914,-4.166802365
-383.6975778,507.2948675,-1.875397767,-4.296411984
-379.4011658,509.1702653,-1.887236348,-4.422219499
-374.9789463,511.0575017,-1.904793398,-4.544022898
-370.4349234,512.9622951,-1.927925693,-4.661625048
-365.7732984,514.8902207,-1.956483215,-4.774833937
-360.9984644,516.846704,-1.990309336,-4.883462902
-356.1150015,518.8370133,-2.02924101,-4.987330862
-351.1276707,520.8662543,-2.07310897,-5.086262536
-346.0414081,522.9393633,-1.97310897,-5.046262536
-340.9951456,524.9124722,-1.87310897,-5.006262536
-335.9888831,526.7855812,-1.77310897,-4.966262536
-331.0226205,528.5586902,-1.67310897,-4.926262536
-326.096358,530.2317992,-1.57310897,-4.886262536
-321.2100955,531.8049081,-1.47310897,-4.846262536
-316.3638329,533.2780171,-1.37310897,-4.806262536
-311.5575704,534.6511261,-1.27310897,-4.766262536
-306.7913078,535.924235,-1.17310897,-4.726262536
-302.0650453,537.097344,-1.07310897,-4.686262536
-297.3787828,538.170453,-0.97310897,-4.646262536
-292.7325202,539.143562,-0.87310897,-4.606262536
-288.1262577,540.0166709,-0.77310897,-4.566262536
-283.5599952,540.7897799,-0.67310897,-4.526262536
-279.0337326,541.4628889,-0.57310897,-4.486262536
-274.5474701,542.0359978,-0.47310897,-4.446262536
-270.1012076,542.5091068,-0.37310897,-4.406262536
-265.694945,542.8822158,-0.27310897,-4.366262536
-261.3286825,543.1553247,-0.361047495,-4.394666565
-256.9340159,543.5163722,-0.451258798,-4.416469964
-252.517546,543.967631,-0.543511137,-4.431597435
-248.0859485,544.5111422,-0.637570282,-4.439981814
-243.6459667,545.1487125,-0.537570282,-4.399981814
-239.2459849,545.6862827,-0.437570282,-4.359981814
-234.8860031,546.123853,-0.337570282,-4.319981814
-230.5660213,546.4614233,-0.237570282,-4.279981814
-226.2860394,546.6989936,-0.137570282,-4.239981814
-222.0460576,546.8365639,-0.037570282,-4.199981814
-217.8460758,546.8741342,0.062429718,-4.159981814
-213.686094,546.8117044,0.162429718,-4.119981814
-209.5661122,546.6492747,0.262429718,-4.079981814
-205.4861304,546.386845,0.362429718,-4.039981814
-201.4461486,546.0244153,0.462429718,-3.999981814
-197.4461668,545.5619856,0.562429718,-3.959981814
-193.4861849,544.9995558,0.662429718,-3.919981814
-189.5662031,544.3371261,0.762429718,-3.879981814
-185.6862213,543.5746964,0.862429718,-3.839981814
-181.8462395,542.7122667,0.962429718,-3.799981814
-178.0462577,541.749837,1.062429718,-3.759981814
-174.2862759,540.6874073,1.162429718,-3.719981814
-170.5662941,539.5249775,1.262429718,-3.679981814
-166.8863122,538.2625478,1.362429718,-3.639981814
-163.2463304,536.9001181,1.462429718,-3.599981814
-159.6463486,535.4376884,1.562429718,-3.559981814
-156.0863668,533.8752587,1.662429718,-3.519981814
-152.566385,532.212829,1.762429718,-3.479981814
-149.0864032,530.4503992,1.862429718,-3.439981814
-145.6464214,528.5879695,1.962429718,-3.399981814
-142.2464395,526.6255398,2.062429718,-3.359981814
-138.8864577,524.5631101,2.162429718,-3.319981814
-135.5664759,522.4006804,2.262429718,-3.279981814
-132.2864941,520.1382506,2.362429718,-3.239981814
-129.0465123,517.7758209,2.462429718,-3.199981814
-125.8465305,515.3133912,2.562429718,-3.159981814
-122.6865487,512.7509615,2.662429718,-3.119981814
-119.5665668,510.0885318,2.762429718,-3.079981814
-116.486585,507.3261021,2.862429718,-3.039981814
-113.4466032,504.4636723,2.962429718,-2.999981814
-110.4466214,501.5012426,3.062429718,-2.959981814
-107.4866396,498.4388129,3.162429718,-2.919981814
-104.5666578,495.2763832,3.262429718,-2.879981814
-101.686676,492.0139535,3.362429718,-2.839981814
